id,name,type,description,apply_link,state,area,age_group,income_bracket,occupation,gender,social_category
188,Korean International Cooperation Agency India,Education,ICT and development cooperation,https://www.koica.go.kr/,All States,Both,15-30 years,All income groups,Students,Both,All
189,Australian Aid Education Programs,Education,Higher education and research collaboration,Australian missions,All States,Both,18-35 years,All income groups,Students and researchers,Both,All
190,Canadian International Development Agency India,Education,Education and skills development,Canadian missions,All States,Both,15-30 years,All income groups,Students,Both,All
191,World Bank Education Projects India,Education,Education system strengthening,https://www.worldbank.org/en/country/india,All States,Both,5-25 years,All income groups,Students,Both,All
192,Asian Development Bank Education India,Education,Education infrastructure and quality,https://www.adb.org/countries/india/main,All States,Both,5-25 years,All income groups,Students,Both,All
193,UNICEF India Education Programs,Education,Quality education for all children,https://www.unicef.org/india/,All States,Both,0-18 years,All income groups,Children,Both,All
194,UNESCO India Education Initiatives,Education,Education for sustainable development,https://en.unesco.org/countries/india,All States,Both,5-25 years,All income groups,Students,Both,All
195,Save the Children India Education,Education,Quality education for disadvantaged children,https://www.savethechildren.in/,All States,Both,3-18 years,Disadvantaged children,Children,Both,All
196,Oxfam India Education Programs,Education,Education for marginalized communities,https://www.oxfamindia.org/,All States,Both,5-25 years,Marginalized communities,Students,Both,All
197,Care India Education Initiatives,Education,Girls education and empowerment,https://www.careindia.org/,All States,Both,5-18 years (girls),All income groups,Girl students,Female,All
198,Plan International India Education,Education,Girls education and child rights,https://plan-international.org/india/,All States,Both,3-18 years,All income groups,Children,Both,All
199,World Vision India Education Programs,Education,Quality education for vulnerable children,https://www.worldvision.in/,All States,Both,3-18 years,Vulnerable children,Children,Both,All
200,ChildFund India Education Support,Education,Education for underprivileged children,https://www.childfundindia.org/,All States,Both,3-18 years,Underprivileged children,Children,Both,All
